idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
1,Recife,Brazil,BR,3,G,10
1,Recife,Brazil,BR,22,G,3
2,Maceio,Brazil,BR,7,G,10
3,Campina Grande,Brazil,BR,4,G,10
4,Joao Passoa,Brazil,BR,23,G,10
5,Brasilia,Brazil,,10,G,10
5,Brasilia,Brazil,BR,27,M,20
5,Brasilia,Brazil,BR,28,M,20
5,,Brazil,BR,11,M,200
5,Brasilia,Brazil,BR,6,G,10
6,Belo Horizonte,Brazil,,17,G,10
6,,Brazil,BR,31,G,10
6,Belo Horizonte,Brazil,BR,8,G,10
7,Aracaju,Brazil,BR,8,G,10
8,Salvador,,BR,9,G,10
9,Vitoria,Brazil,,10,G,10
10,Rio de Janeiro,Brazil,BR,17,G,10
11,Manaus,Brazil,BR,,,
12,Goiania,Brazil,BR,20,G,3
12,Goiania,Brazil,BR,13,G,3
13,Cuiaba,Brazil,BR,18,G,3
13,Cuiaba,Brazil,BR,21,G,3
14,Curitiba,Brazil,BR,17,G,10
14,,Brazil,BR,21,G,3
14,Curitiba,Brazil,BR,15,G,10
15,Porto Alegre,Brazil,BR,16,G,10
16,Florianopolis,Brazil,,17,G,10
17,Sao Paulo,Brazil,BR,24,G,1
17,Sao Paulo,Brazil,BR,25,G,4
17,,,BR,26,G,20
18,Porto Velho,Brazil,BR,19,G,3
19,Rio Branco,Brazil,,,,
20,Palmas,Brazil,BR,,,
21,Campo Grande,Brazil,BR,,,
22,Teresina,Brazil,,29,G,3
23,Natal,Brazil,BR,31,G,10
24,RedCLARA,Brazil,BR,49,G,100
25,Inetnet Comercial,Brazil,BR,,,
26,Americas Light,Brazil,BR,,,
27,Boa Vista,Brazil,BR,,,
28,Macapa,,BR,,,
29,Belem,Brazil,BR,30,G,3
30,Sao Luis,Brazil,BR,31,G,3
31,Fortaleza,Brazil,BR,93,G,100
31,Fortaleza,Brazil,BR,94,G,100
32,UCT,Chile,CL,45,G,1
33,ULAGOS,Chile,CL,50,G,1
34,UACH,Chile,CL,55,G,2
35,UFRO,Chile,CL,45,G,3
36,UCN,Chile,CL,53,G,4
37,UNAP Sede Santiago,Chile,CL,68,G,5
38,UNAP,Chile,CL,54,G,6
39,UTA,Chile,CL,41,G,7
40,,,,,,
41,Arica,Chile,CL,54,M,155
42,PITs Nacionales,Chile,CL,44,G,4
43,RC-12,Chile,,49,G,1
43,RC-12,,CL,58,G,1
44,RC-Nacional,Chile,,58,G,1
45,,Chile,CL,56,G,1
46,,Chile,CL,57,G,1
46,,,CL,59,G,1
46,,,CL,60,G,1
47,,,CL,51,G,1
47,,Chile,CL,62,G,1
47,,,CL,63,G,1
48,,,,64,G,1
48,,,CL,65,G,1
48,,,CL,66,G,1
48,,,CL,67,G,1
48,,,CL,68,G,1
48,,,,58,G,1
49,RedCLARA,Chile,CL,58,G,1
50,Osorno,Chile,CL,55,M,155
51,La Serena,Chile,CL,58,M,301
51,La Serena,Chile,CL,52,M,205
52,Copiapo,Chile,CL,61,G,1
52,Copiapo,Chile,CL,53,M,205
53,Antofagasta,Chile,CL,54,M,155
54,Iquique,Chile,CL,,,
55,Valdivia,Chile,,56,M,155
56,Temuco,Chile,CL,57,M,205
57,Concepcion,Chile,CL,58,M,301
58,Santiago,Chile,CL,,,
