idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
47,,,CL,63,G,1
23,Natal,Brazil,BR,31,G,10
50,Osorno,Chile,CL,55,M,155
48,,,CL,66,G,1
40,,,,,,
28,Macapa,,BR,,,
73,Frankfurt,Germany,DE,77,G,5
100,Moscow,Russia,RU,,,
72,Poznan,Poland,PL,79,G,5
65,,Chile,,,,
72,,Poland,PL,73,G,10
16,Florianopolis,Brazil,,17,G,10
31,Fortaleza,Brazil,BR,94,G,100
47,,,CL,51,G,1
83,Istanbul,Turkey,TR,,,
76,Paris,France,FR,77,G,5
73,Frankfurt,Germany,,75,G,10
55,Valdivia,Chile,,56,M,155
13,Cuiaba,Brazil,BR,18,G,3
52,Copiapo,Chile,CL,61,G,1
76,Paris,France,FR,103,G,5
6,Belo Horizonte,Brazil,BR,8,G,10
17,Sao Paulo,Brazil,BR,24,G,1
72,Poznan,Poland,PL,88,G,1
34,UACH,Chile,CL,55,G,2
73,Frankfurt,,DE,98,G,10
21,Campo Grande,Brazil,BR,,,
94,Madrid,Spain,ES,,,
27,Boa Vista,Brazil,BR,,,
74,Prague,Czech Republic,CZ,92,G,5
76,Paris,France,FR,94,G,10
68,REUNA,Chile,CL,,,
90,Podgorica ,Montenegro,ME,96,M,155
48,,,,58,G,1
48,,,CL,65,G,1
87,Msida,Malta,MT,,,
48,,,,64,G,1
60,UBB,Chile,,,,
79,Kyiv,,UA,,,
53,Antofagasta,Chile,CL,54,M,155
88,,,BY,,,
10,Rio de Janeiro,Brazil,BR,17,G,10
98,Vienna,Austria,AT,,,
75,Luxembourg,Luxembourg,LU,76,G,10
31,Fortaleza,Brazil,BR,93,G,100
92,Bratislava ,Slovakia,SK,98,G,5
15,Porto Alegre,Brazil,BR,16,G,10
5,,Brazil,BR,11,M,200
4,Joao Passoa,Brazil,BR,23,G,10
73,Frankfurt,Germany,DE,,,
107,Tallinn ,Estonia,EE,108,G,10
17,,,BR,26,G,20
91,Budapest ,Hungary,HU,95,G,10
102,Dublin,Ireland,IE,103,G,10
81,Sofia,Bulgaria,BG,89,M,155
57,Concepcion,Chile,CL,58,M,301
5,Brasilia,Brazil,BR,27,M,20
30,Sao Luis,Brazil,BR,31,G,3
67,,,CL,,,
32,UCT,Chile,CL,45,G,1
6,Belo Horizonte,Brazil,,17,G,10
46,,Chile,CL,57,G,1
18,Porto Velho,Brazil,BR,19,G,3
78,Milan,Italy,IT,84,G,10
5,Brasilia,Brazil,,10,G,10
78,,Italy,,87,G,1
105,Stockholm ,Sweden,SE,106,G,5
81,Sofia,Bulgaria,BG,83,G,10
5,Brasilia,Brazil,BR,6,G,10
59,UDEC,Chile,CL,,,
29,Belem,Brazil,BR,30,G,3
45,,Chile,CL,56,G,1
91,,Hungary,,96,G,5
3,Campina Grande,Brazil,BR,4,G,10
81,Sofia,Bulgaria,BG,91,G,10
