idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
99,Kaunas ,Lithuania,LT,108,G,10
110,Brasilia,Brazil,BR,28,M,20
126,PoPs-C3,Chile,CL,62,G,1
6,Belo Horizonte,Brazil,BR,31,G,10
147,Frankfurt,Germany,,75,G,10
149,Paris,France,FR,103,G,5
1,Recife,Brazil,BR,22,G,3
139,Poznan,Poland,PL,99,G,10
104,Oslo,Norway,NO,105,G,5
80,Chisinau,,MD,82,G,1
43,RC-12,Chile,,49,G,1
97,Ljubljana ,Slovenia,SL,98,G,5
121,Sao Paulo,,BR,26,G,20
152,Milan,Italy,IT,84,G,10
155,Sofia,Bulgaria,BG,89,M,155
47,PoPs-C3,,CL,63,G,1
53,Antofagasta,Chile,CL,54,M,155
138,Amsterdam,Netherlands,NL,73,G,5
3,Campina Grande,Brazil,BR,4,G,10
25,Inetnet Comercial,Brazil,BR,,,
87,Msida,Malta,MT,,,
45,PoPs-C1,Chile,CL,56,G,1
19,Rio Branco,Brazil,,,,
65,PoPs-C5,Chile,,,,
24,RedCLARA,Brazil,BR,49,G,100
115,Belo Horizonte,Brazil,BR,8,G,10
127,PoPs-C3,,CL,51,G,1
124,PoPs-C2,,CL,59,G,1
137,Amsterdam,Netherlands,NL,70,G,5
96,Zagreb ,Croatia,HR,97,G,5
76,Paris,France,FR,94,G,10
44,RC-Nacional,Chile,,58,G,1
32,UCT,Chile,CL,45,G,1
86,Tel Aviv,Israel,IL,99,G,3
158,Sofia,Bulgaria,BG,83,G,10
161,Lisbon,Portugal,PT,94,G,10
26,Americas Light,Brazil,BR,,,
48,PoPs-C4,,CL,65,G,1
143,Frankfurt,Germany,DE,86,G,3
114,Belo Horizonte,Brazil,,17,G,10
81,Sofia,Bulgaria,BG,91,G,10
160,Budapest ,Hungary,,96,G,5
141,Poznan,Poland,PL,79,G,5
49,RedCLARA,Chile,CL,58,G,1
111,Brasilia,Brazil,BR,6,G,10
120,Sao Paulo,Brazil,BR,24,G,1
9,Vitoria,Brazil,,10,G,10
56,Temuco,Chile,CL,57,M,205
150,Paris,France,FR,77,G,5
46,PoPs-C2,,CL,60,G,1
151,Geneva,Switzerland,CH,78,G,5
77,Geneva,Switzerland,CH,94,G,5
129,PoPs-C4,,,64,G,1
159,Budapest ,Hungary,,92,G,5
36,UCN,Chile,CL,53,G,4
100,Moscow,Russia,RU,,,
112,Brasilia,Brazil,BR,27,M,20
128,PoPs-C4,,,58,G,1
132,PoPs-C4,,CL,66,G,1
58,Santiago,Chile,CL,,,
42,PITs Nacionales,Chile,CL,44,G,4
68,REUNA,Chile,CL,,,
11,Manaus,Brazil,BR,,,
