idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
91,Budapest,Hungary,HU,95,G,10
33,ULAGOS,Chile,CL,50,G,1
85,Nicosia,Cyprus,CY,103,G,1
18,Porto Velho,Brazil,BR,19,G,3
107,Tallinn,Estonia,EE,108,G,10
67,PoPs-C12,Chile,CL,,,
43,RC-12,Chile,CL,49,G,1
51,La Serena,Chile,CL,58,M,301
47,PoPs-C3,Chile,CL,63,G,1
35,UFRO,Chile,CL,45,G,3
47,PoPs-C3,Chile,CL,62,G,1
25,Inetnet Comercial,Brazil,BR,,,
76,Paris,France,FR,77,G,5
72,Poznan,Poland,PL,99,G,10
91,Budapest,Hungary,HU,96,G,5
79,Kyiv,Ukraine,UA,,,
56,Temuco,Chile,CL,57,M,205
28,Macapa,Brazil,BR,,,
59,UDEC,Chile,CL,,,
1,Recife,Brazil,BR,3,G,10
52,Copiapo,Chile,CL,61,G,1
69,Amsterdam,Netherlands,NL,99,G,3
31,Fortaleza,Brazil,BR,93,G,100
106,Helsinki,Finland,FI,,,
108,Riga,Latvia,LV,,,
92,Bratislava,Slovakia,SK,98,G,5
36,UCN,Chile,CL,53,G,4
39,UTA,Chile,CL,41,G,7
51,La Serena,Chile,CL,52,M,205
27,Boa Vista,Brazil,BR,,,
6,Belo Horizonte,Brazil,BR,17,G,10
42,PITs Nacionales,Chile,CL,44,G,4
23,Natal,Brazil,BR,31,G,10
81,Sofia,Bulgaria,BG,84,G,10
54,Iquique,Chile,CL,,,
78,Milan,Italy,IT,87,G,1
101,Reykjavik,Iceland,IS,103,G,3
49,RedCLARA,Chile,CL,58,G,1
77,Geneva,Switzerland,CH,94,G,5
73,Frankfurt,Germany,DE,77,G,5
96,Zagreb,Croatia,HR,97,G,5
68,REUNA,Chile,CL,,,
11,Manaus,Brazil,BR,,,
5,Brasilia,Brazil,BR,6,G,10
44,RC-Nacional,Chile,CL,58,G,1
97,Ljubljana,Slovenia,SL,98,G,5
7,Aracaju,Brazil,BR,8,G,10
57,Concepcion,Chile,CL,58,M,301
93,Lisbon,Portugal,PT,103,G,10
84,Athens,Greece,GR,98,G,10
65,PoPs-C5,Chile,CL,,,
72,Poznan,Poland,PL,73,G,10
94,Madrid,Spain,ES,,,
69,Amsterdam,Netherlands,NL,71,G,5
48,PoPs-C4,Chile,CL,67,G,1
76,Paris,France,FR,103,G,5
70,Brussels,Belgium,BE,102,G,5
48,PoPs-C4,Chile,CL,68,G,1
46,PoPs-C2,Chile,CL,57,G,1
9,Vitoria,Brazil,BR,10,G,10
72,Poznan,Poland,PL,88,G,1
69,Amsterdam,Netherlands,NL,70,G,5
63,AURA,Chile,CL,,,
31,Fortaleza,Brazil,BR,94,G,100
66,UMCE,Chile,CL,,,
73,Frankfurt,Germany,DE,86,G,3
40,PoPs-C9,Chile,CL,,,
19,Rio Branco,Brazil,BR,,,
73,Frankfurt,Germany,DE,85,G,1
89,Skopje,Macedonia,MK,,,
5,Brasilia,Brazil,BR,27,M,20
3,Campina Grande,Brazil,BR,4,G,10
73,Frankfurt,Germany,DE,,,
30,Sao Luis,Brazil,BR,31,G,3
80,Chisinau,Moldova,MD,82,G,1
48,PoPs-C4,Chile,CL,65,G,1
14,Curitiba,Brazil,BR,15,G,10
62,ULS,Chile,CL,,,
104,Oslo,Norway,NO,105,G,5
5,Brasilia,Brazil,BR,28,M,20
47,PoPs-C3,Chile,CL,51,G,1
17,Sao Paulo,Brazil,BR,24,G,1
14,Curitiba,Brazil,BR,17,G,10
21,Campo Grande,Brazil,BR,,,
45,PoPs-C1,Chile,CL,56,G,1
103,London,United Kingdom,UK,,,
73,Frankfurt,Germany,DE,98,G,10
43,RC-12,Chile,CL,58,G,1
95,Belgrade,Serbia,RS,,,
50,Osorno,Chile,CL,55,M,155
86,Tel Aviv,Israel,IL,99,G,3
4,Joao Pessoa,Brazil,BR,23,G,10
15,Porto Alegre,Brazil,BR,16,G,10
61,UDA,Chile,CL,,,
55,Valdivia,Chile,CL,56,M,155
81,Sofia,Bulgaria,BG,83,G,10
29,Belem,Brazil,BR,30,G,3
22,Teresina,Brazil,BR,29,G,3
74,Prague,Czech Republic,CZ,92,G,5
73,Frankfurt,Germany,DE,75,G,10
10,Rio de Janeiro,Brazil,BR,17,G,10
91,Budapest,Hungary,HU,92,G,5
102,Dublin,Ireland,IE,103,G,10
77,Geneva,Switzerland,CH,78,G,5
60,UBB,Chile,CL,,,
38,UNAP,Chile,CL,54,G,6
88,Minsk,Belarus,BY,,,
6,Belo Horizonte,Brazil,BR,31,G,10
81,Sofia,Bulgaria,BG,82,G,10
81,Sofia,Bulgaria,BG,91,G,10
26,Americas Light,Brazil,BR,,,
98,Vienna,Austria,AT,,,
72,Poznan,Poland,PL,74,G,10
12,Goiania,Brazil,BR,20,G,3
82,Bucharest,Romania,RO,91,G,10
5,Brasilia,Brazil,BR,11,M,200
100,Moscow,Russia,RU,,,
73,Frankfurt,Germany,DE,74,G,5
2,Maceio,Brazil,BR,7,G,10
48,PoPs-C4,Chile,CL,58,G,1
1,Recife,Brazil,BR,22,G,3
13,Cuiaba,Brazil,BR,21,G,3
93,Lisbon,Portugal,PT,94,G,10
78,Milan,Italy,IT,84,G,10
53,Antofagasta,Chile,CL,54,M,155
37,UNAP Sede Santiago,Chile,CL,68,G,5
17,Sao Paulo,Brazil,BR,26,G,20
46,PoPs-C2,Chile,CL,59,G,1
32,UCT,Chile,CL,45,G,1
72,Poznan,Poland,PL,79,G,5
48,PoPs-C4,Chile,CL,64,G,1
99,Kaunas,Lithuania,LT,108,G,10
78,Milan,Italy,IT,98,G,5
5,Brasilia,Brazil,BR,10,G,10
76,Paris,France,FR,94,G,10
41,Arica,Chile,CL,54,M,155
81,Sofia,Bulgaria,BG,89,M,155
6,Belo Horizonte,Brazil,BR,8,G,10
12,Goiania,Brazil,BR,13,G,3
58,Santiago,Chile,CL,,,
17,Sao Paulo,Brazil,BR,25,G,4
16,Florianopolis,Brazil,BR,17,G,10
13,Cuiaba,Brazil,BR,18,G,3
48,PoPs-C4,Chile,CL,66,G,1
24,RedCLARA,Brazil,BR,49,G,100
69,Amsterdam,Netherlands,NL,73,G,5
90,Podgorica,Montenegro,ME,96,M,155
14,Curitiba,Brazil,BR,21,G,3
8,Salvador,Brazil,BR,9,G,10
46,PoPs-C2,Chile,CL,60,G,1
52,Copiapo,Chile,CL,53,M,205
64,UCHILE,Chile,CL,,,
34,UACH,Chile,CL,55,G,2
78,Milan,Italy,IT,94,G,10
105,Stockholm,Sweden,SE,106,G,5
20,Palmas,Brazil,BR,,,
75,Luxembourg,Luxembourg,LU,76,G,10
87,Msida,Malta,MT,,,
83,Istanbul,Turkey,TR,,,
69,Amsterdam,Netherlands,NL,103,G,3
71,Fisciano,Italy,IT,,,
