idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
1,Brasil Serv,Brasil,BR,4,M,11
1,Brasil Serv,Brasil,BR,5,M,10
1,Brasil Serv,Brasil,BR,6,M,5  
4,USA Libnus,USA,US,1,M,11
4,USA Libnus,USA,US,7,M,25
4,USA Libnus,USA,US,8,,
5,Belgica pluss,Belgica,BE,1,M,10
5,Belgica pluss,Belgica,BE,7,M,2
6,Berlin,Alemanha,DE,1,M,5
6,Berlin,Alemanha,DE,7,M,30
7,Daca,Bangladesh,BD,4,M,25
7,Daca,Bangladesh,BD,5,M,2
7,Daca,Bangladesh,BD,6,M,30
7,Daca,Bangladesh,BD,8,, 
8,Sao Paulo,Brasil,BR,4,,
8,Sao Paulo,Brasil,BR,7,,
